Edge TPU Compiler version 16.0.384591198
Input: lane_keeper_edgetpu.tflite
Output: lane_keeper_edgetpu_edgetpu.tflite

Operator                       Count      Status

TRANSPOSE                      66         Operation is working on an unsupported data type
RESHAPE                        65         Operation is working on an unsupported data type
MEAN                           17         Operation is working on an unsupported data type
PAD                            17         Operation is working on an unsupported data type
LOGISTIC                       65         Operation is working on an unsupported data type
ADD                            9          Operation is working on an unsupported data type
FULLY_CONNECTED                1          Operation is working on an unsupported data type
CONV_2D                        65         Operation is working on an unsupported data type
MUL                            65         Operation is working on an unsupported data type
DEPTHWISE_CONV_2D              16         Operation is working on an unsupported data type
