Edge TPU Compiler version 16.0.384591198
Input: model_int8.tflite
Output: model_int8_edgetpu.tflite

Operator                       Count      Status

MUL                            65         More than one subgraph is not supported
CONV_2D                        65         More than one subgraph is not supported
MEAN                           17         More than one subgraph is not supported
ADD                            9          More than one subgraph is not supported
RESHAPE                        65         More than one subgraph is not supported
TRANSPOSE                      38         Operation is otherwise supported, but not mapped due to some unspecified limitation
TRANSPOSE                      28         More than one subgraph is not supported
PAD                            16         More than one subgraph is not supported
PAD                            1          Mapped to Edge TPU
LOGISTIC                       65         More than one subgraph is not supported
FULLY_CONNECTED                1          More than one subgraph is not supported
DEPTHWISE_CONV_2D              16         More than one subgraph is not supported
